--- Starting Multi-Seed Training for Seeds: [9006] ---

=======================================================
  Training Seed 9006 on Device: cuda
=======================================================
Seed 9006 | Epoch 190/1220 | Avg R: 0.0186 | Val Loss: 0.0005 | KL: 0.0195 | LinErr: 0.766 | YawErr: 0.428 | |A|: 0.260 | R>0: 98.34% | Done: 0.00% | Sigma: 0.302 | Steps: 31129600 | Time: 2152.0s
Seed 9006 | Epoch 195/1220 | Avg R: 0.0188 | Val Loss: 0.0005 | KL: 0.0200 | LinErr: 0.759 | YawErr: 0.416 | |A|: 0.263 | R>0: 98.19% | Done: 0.00% | Sigma: 0.304 | Steps: 31948800 | Time: 2208.3s
Seed 9006 | Epoch 200/1220 | Avg R: 0.0188 | Val Loss: 0.0004 | KL: 0.0193 | LinErr: 0.754 | YawErr: 0.409 | |A|: 0.261 | R>0: 98.09% | Done: 0.01% | Sigma: 0.304 | Steps: 32768000 | Time: 2263.8s
Seed 9006 | Epoch 205/1220 | Avg R: 0.0161 | Val Loss: 0.0004 | KL: 0.0218 | LinErr: 0.847 | YawErr: 0.535 | |A|: 0.277 | R>0: 96.69% | Done: 0.00% | Sigma: 0.305 | Steps: 33587200 | Time: 2320.5s
Seed 9006 | Epoch 210/1220 | Avg R: 0.0163 | Val Loss: 0.0004 | KL: 0.0212 | LinErr: 0.850 | YawErr: 0.532 | |A|: 0.282 | R>0: 96.83% | Done: 0.01% | Sigma: 0.305 | Steps: 34406400 | Time: 2376.8s
Seed 9006 | Epoch 215/1220 | Avg R: 0.0169 | Val Loss: 0.0005 | KL: 0.0220 | LinErr: 0.834 | YawErr: 0.481 | |A|: 0.289 | R>0: 97.21% | Done: 0.00% | Sigma: 0.306 | Steps: 35225600 | Time: 2432.4s
Seed 9006 | Epoch 220/1220 | Avg R: 0.0174 | Val Loss: 0.0006 | KL: 0.0166 | LinErr: 0.812 | YawErr: 0.465 | |A|: 0.286 | R>0: 97.37% | Done: 0.00% | Sigma: 0.306 | Steps: 36044800 | Time: 2488.2s
Seed 9006 | Epoch 225/1220 | Avg R: 0.0178 | Val Loss: 0.0005 | KL: 0.0174 | LinErr: 0.796 | YawErr: 0.458 | |A|: 0.283 | R>0: 97.60% | Done: 0.00% | Sigma: 0.308 | Steps: 36864000 | Time: 2544.2s
Seed 9006 | Epoch 230/1220 | Avg R: 0.0182 | Val Loss: 0.0004 | KL: 0.0175 | LinErr: 0.784 | YawErr: 0.438 | |A|: 0.285 | R>0: 97.41% | Done: 0.00% | Sigma: 0.309 | Steps: 37683200 | Time: 2598.9s
Seed 9006 | Epoch 235/1220 | Avg R: 0.0183 | Val Loss: 0.0004 | KL: 0.0210 | LinErr: 0.775 | YawErr: 0.425 | |A|: 0.281 | R>0: 97.28% | Done: 0.01% | Sigma: 0.309 | Steps: 38502400 | Time: 2653.8s
Seed 9006 | Epoch 240/1220 | Avg R: 0.0186 | Val Loss: 0.0005 | KL: 0.0212 | LinErr: 0.764 | YawErr: 0.403 | |A|: 0.281 | R>0: 97.69% | Done: 0.00% | Sigma: 0.310 | Steps: 39321600 | Time: 2710.2s
Seed 9006 | Epoch 245/1220 | Avg R: 0.0187 | Val Loss: 0.0005 | KL: 0.0182 | LinErr: 0.760 | YawErr: 0.409 | |A|: 0.285 | R>0: 97.38% | Done: 0.00% | Sigma: 0.311 | Steps: 40140800 | Time: 2764.8s
Seed 9006 | Epoch 250/1220 | Avg R: 0.0190 | Val Loss: 0.0004 | KL: 0.0198 | LinErr: 0.754 | YawErr: 0.379 | |A|: 0.288 | R>0: 97.59% | Done: 0.00% | Sigma: 0.312 | Steps: 40960000 | Time: 2821.5s
Seed 9006 | Epoch 255/1220 | Avg R: 0.0166 | Val Loss: 0.0004 | KL: 0.0211 | LinErr: 0.844 | YawErr: 0.428 | |A|: 0.314 | R>0: 96.81% | Done: 0.00% | Sigma: 0.314 | Steps: 41779200 | Time: 2876.4s
Seed 9006 | Epoch 260/1220 | Avg R: 0.0165 | Val Loss: 0.0004 | KL: 0.0171 | LinErr: 0.842 | YawErr: 0.465 | |A|: 0.319 | R>0: 96.41% | Done: 0.01% | Sigma: 0.315 | Steps: 42598400 | Time: 2931.7s
Seed 9006 | Epoch 265/1220 | Avg R: 0.0169 | Val Loss: 0.0005 | KL: 0.0225 | LinErr: 0.828 | YawErr: 0.462 | |A|: 0.317 | R>0: 96.45% | Done: 0.01% | Sigma: 0.318 | Steps: 43417600 | Time: 2988.3s
Seed 9006 | Epoch 270/1220 | Avg R: 0.0173 | Val Loss: 0.0005 | KL: 0.0196 | LinErr: 0.806 | YawErr: 0.435 | |A|: 0.310 | R>0: 96.70% | Done: 0.01% | Sigma: 0.319 | Steps: 44236800 | Time: 3043.1s
Seed 9006 | Epoch 275/1220 | Avg R: 0.0178 | Val Loss: 0.0005 | KL: 0.0199 | LinErr: 0.794 | YawErr: 0.414 | |A|: 0.310 | R>0: 96.98% | Done: 0.01% | Sigma: 0.320 | Steps: 45056000 | Time: 3098.5s
Seed 9006 | Epoch 280/1220 | Avg R: 0.0182 | Val Loss: 0.0004 | KL: 0.0150 | LinErr: 0.781 | YawErr: 0.392 | |A|: 0.313 | R>0: 97.12% | Done: 0.00% | Sigma: 0.320 | Steps: 45875200 | Time: 3153.6s
Seed 9006 | Epoch 285/1220 | Avg R: 0.0184 | Val Loss: 0.0004 | KL: 0.0177 | LinErr: 0.772 | YawErr: 0.379 | |A|: 0.314 | R>0: 97.12% | Done: 0.01% | Sigma: 0.321 | Steps: 46694400 | Time: 3208.6s
Seed 9006 | Epoch 290/1220 | Avg R: 0.0186 | Val Loss: 0.0005 | KL: 0.0185 | LinErr: 0.758 | YawErr: 0.389 | |A|: 0.308 | R>0: 97.15% | Done: 0.00% | Sigma: 0.322 | Steps: 47513600 | Time: 3263.6s
Seed 9006 | Epoch 295/1220 | Avg R: 0.0189 | Val Loss: 0.0005 | KL: 0.0214 | LinErr: 0.753 | YawErr: 0.369 | |A|: 0.308 | R>0: 97.49% | Done: 0.00% | Sigma: 0.323 | Steps: 48332800 | Time: 3319.7s
Seed 9006 | Epoch 300/1220 | Avg R: 0.0191 | Val Loss: 0.0004 | KL: 0.0184 | LinErr: 0.750 | YawErr: 0.349 | |A|: 0.312 | R>0: 97.64% | Done: 0.00% | Sigma: 0.323 | Steps: 49152000 | Time: 3376.6s
Seed 9006 | Epoch 305/1220 | Avg R: 0.0168 | Val Loss: 0.0004 | KL: 0.0218 | LinErr: 0.839 | YawErr: 0.390 | |A|: 0.331 | R>0: 96.72% | Done: 0.00% | Sigma: 0.324 | Steps: 49971200 | Time: 3433.3s
Seed 9006 | Epoch 310/1220 | Avg R: 0.0168 | Val Loss: 0.0005 | KL: 0.0182 | LinErr: 0.839 | YawErr: 0.417 | |A|: 0.338 | R>0: 96.58% | Done: 0.00% | Sigma: 0.325 | Steps: 50790400 | Time: 3488.9s
Seed 9006 | Epoch 315/1220 | Avg R: 0.0170 | Val Loss: 0.0005 | KL: 0.0206 | LinErr: 0.826 | YawErr: 0.424 | |A|: 0.341 | R>0: 96.40% | Done: 0.00% | Sigma: 0.327 | Steps: 51609600 | Time: 3543.9s
Seed 9006 | Epoch 320/1220 | Avg R: 0.0174 | Val Loss: 0.0005 | KL: 0.0185 | LinErr: 0.806 | YawErr: 0.393 | |A|: 0.340 | R>0: 96.46% | Done: 0.00% | Sigma: 0.329 | Steps: 52428800 | Time: 3599.6s
Seed 9006 | Epoch 325/1220 | Avg R: 0.0178 | Val Loss: 0.0005 | KL: 0.0169 | LinErr: 0.793 | YawErr: 0.376 | |A|: 0.335 | R>0: 96.54% | Done: 0.00% | Sigma: 0.331 | Steps: 53248000 | Time: 3654.7s
Seed 9006 | Epoch 330/1220 | Avg R: 0.0182 | Val Loss: 0.0004 | KL: 0.0202 | LinErr: 0.780 | YawErr: 0.360 | |A|: 0.332 | R>0: 96.79% | Done: 0.00% | Sigma: 0.333 | Steps: 54067200 | Time: 3710.8s
Seed 9006 | Epoch 335/1220 | Avg R: 0.0185 | Val Loss: 0.0005 | KL: 0.0176 | LinErr: 0.771 | YawErr: 0.346 | |A|: 0.332 | R>0: 96.99% | Done: 0.00% | Sigma: 0.333 | Steps: 54886400 | Time: 3764.9s
Seed 9006 | Epoch 340/1220 | Avg R: 0.0186 | Val Loss: 0.0005 | KL: 0.0187 | LinErr: 0.756 | YawErr: 0.353 | |A|: 0.327 | R>0: 96.92% | Done: 0.00% | Sigma: 0.334 | Steps: 55705600 | Time: 3819.3s
